feature,importance
Credit_History,0.42949405
Married,0.07453617
Loan_Amount_Term,0.05323476
Applicant_Income_Log,0.035122648
Property_Area,0.034134865
ApplicantIncome,0.032881137
Income_to_Loan_Ratio,0.032707315
CoapplicantIncome,0.032324143
DTI_Approximation,0.03180962
TotalIncome,0.031505063
LoanAmount,0.031147463
Loan_Applicant_Income_Ratio,0.02985807
Self_Employed,0.028296303
Loan_Amount_Log,0.027990164
Dependents,0.027547415
Total_Income_Log,0.023754785
Education,0.022311835
Gender,0.02134411
